ID_PARCELA,SP_PPAL,band,auc_yearly_mean,auc_yearly_mean_normalized,mean_yearly_value,min_yearly_value,max_yearly_value,std_yearly_value,mean_Winter,std_Winter,mean_Spring,std_Spring,mean_Summer,std_Summer,mean_Fall,std_Fall,acf_lag_26,acf_lag_52,acf_lag_78,acf_lag_104,acf_lag_156,qtest_stat_1,qtest_pvalue_1,qtest_stat_2,qtest_pvalue_2,qtest_stat_3,qtest_pvalue_3,qtest_stat_26,qtest_pvalue_26,qtest_stat_52,qtest_pvalue_52,qtest_stat_104,qtest_pvalue_104,qtest_stat_156,qtest_pvalue_156,seasonality_mode,fisher_kappa,seasonality_stability,plurianual_cycles,seasonality_amplitude
1553,1,Coherence,50.16283420693308,0.9464685699421336,0.9649843961134326,0.918124884366989,0.9862813651561737,0.014167963260525997,0.9786653486458031,0.01229457506630111,0.9557303230504732,0.028123467573037363,0.9601957750947852,0.029130725713427227,0.9639387436603245,0.0268448234153653,0.014672754670399055,0.007971826889652391,-0.10105789004169409,-0.10195913615889585,-0.01857745197719032,48.235586180508285,3.779663256332301e-12,56.18121691656702,6.315442032863153e-13,73.14982201940227,9.02785371345308e-16,120.43001285354009,4.163588430065098e-14,167.87289442982086,4.03249169935035e-14,295.76986530339315,2.6992897320229036e-20,351.0516503605823,4.676498899039352e-17,26.0,1.6316804713739235,0.02214988004964677,0.09858389238840568,0.0023900444038437527
1554,1,Coherence,49.879251197548136,0.9411179471235498,0.959636766235248,0.9002066969871519,0.99012702703476,0.018637124890122037,0.9763879953203974,0.017191484321677906,0.9466653490388716,0.030570924285572995,0.9577743513019461,0.02551472686820886,0.9552067541762402,0.04659910715899875,0.10518314321436893,0.02552725234785511,-0.04675429153009042,-0.05387247358809209,-0.04695055530624423,53.621178565683344,2.43124340120713e-13,57.61608765838136,3.081949587626666e-13,60.80973077718043,3.946706498684764e-13,116.2315180185812,2.2385129822159954e-13,152.00673703124926,9.809143728521087e-12,233.95865448004662,5.288499224689419e-12,324.7353777872101,6.397209225228085e-14,26.0,2.6894807701475685,0.07051349117625089,0.04793942379739175,0.014167371113368282
1555,1,Coherence,49.26999363799889,0.9296225214716771,0.9472930372698503,0.8287136673927307,0.9781497418880463,0.033924566004597013,0.9480755127765037,0.04788548909657804,0.924254204775836,0.07389604756009298,0.9686253180629328,0.020261016731906962,0.9519992251145212,0.07400758511818079,-0.012874016378325812,0.008648549261993025,-0.09680954573654085,-0.0019642414974467503,0.025754531714227168,52.82408383128475,3.6480052926624073e-13,68.44235951643901,1.3738220000630915e-15,81.99304662980488,1.1467474479795617e-17,131.07124712000385,5.517338725296077e-16,157.62623454862396,1.440048005575421e-12,267.6837457069826,2.20802337023993e-16,386.75258058156294,1.3397371406578364e-21,52.0,2.4367197342682076,0.10244209137451628,0.1808802928933155,0.07212066844681211
1556,1,Coherence,49.09053215696699,0.9262364557918299,0.9447231486747636,0.8755013823509218,0.991151571273804,0.024871169842387606,0.9635868024181675,0.03599530896938742,0.9251484621215511,0.0542078444740801,0.9454149031325391,0.032940264379600966,0.9417071264041098,0.05570341398278317,0.034700696363768435,0.046472446013258624,-0.07720244304066061,-0.10324682987967478,-0.060078087930878654,58.92916998250068,1.6345104158667547e-14,66.1817795504516,4.254114446505174e-15,69.98768695788532,4.294328115517448e-15,115.85764398021675,2.598371428270675e-13,152.78867257552244,7.52511782521503e-12,259.53375704149255,2.735740212896893e-15,327.53948006275164,3.0297331184255335e-14,26.0,1.4560813215810187,0.046401948827262555,0.03301047536658789,0.030318900345844432
1557,1,Coherence,49.82248679683321,0.9400469206949662,0.9585330149448358,0.9188106060028078,0.9859240991728645,0.016233075895728092,0.9703821878175478,0.019486911709164115,0.9463745226731172,0.03427415007048517,0.9529580685653185,0.031473101287043496,0.9626388667445434,0.03252537048405399,0.07459546174681056,0.03677098395389731,-0.027970322221659495,-0.018756540733637368,-0.0878857743100047,39.34883467617618,3.544643474044378e-10,45.391882457600474,1.3908425312985168e-10,50.62284038784075,5.886286000443002e-11,71.65347135967818,3.8000582513770488e-06,90.50196482579503,0.0007503233486768279,188.3133387733507,8.167569911769752e-07,262.26512075300974,2.1158462468210805e-07,26.0,1.9730187449668426,0.056012411739764165,0.04747011453619223,0.011109333367403646
1558,1,Coherence,50.17147980573631,0.9466316944478549,0.965202094519449,0.9262376924355823,0.9899278283119203,0.014761192300161971,0.9791286466894923,0.011273520412179319,0.9516202461075138,0.03257228146904404,0.9650000733764548,0.024190180065239226,0.9643860482855847,0.0337980933959554,0.10055498348206568,0.01112115141387228,-0.033511842801443856,-0.04095263274992542,-0.045822043820179195,39.7256700674179,2.922587913244653e-10,49.86054014139683,1.4890911274058465e-11,54.70923493713399,7.92030994487002e-12,121.34511992239926,2.880249464397533e-14,172.20713211353444,8.644877715063145e-15,258.80863737190094,3.4144516048482103e-15,307.1439243325311,6.1022639554156825e-12,26.0,2.5136345273613165,0.050409858396011864,0.03541470652714005,0.010048653405776365
1559,1,Coherence,49.97567366645449,0.9429372389897074,0.9614897402363219,0.9206924183028085,0.9857993721961974,0.014975355961556662,0.9770250948699745,0.013772500391542923,0.9501081439288886,0.031086192934243584,0.9523010810739115,0.03810434433138074,0.9642397690760461,0.021080364280577538,-0.10356079891538207,0.06303664036970574,-0.07106976093530656,-0.01644934638644956,-0.06992995167841934,47.811936045761634,4.69127223370056e-12,51.141106505361606,7.84964151009532e-12,53.34036670945869,1.5512401468753776e-11,91.51822831063485,3.1646204416077666e-09,151.19743260580677,1.2897009185716537e-11,251.37434375178725,3.2374607181839724e-14,352.68767758665683,2.941893465355839e-17,26.0,1.2892140221748418,0.044206587430449605,0.06710323336021325,0.00736101460426102
1560,1,Coherence,50.43624818708215,0.9516273242845689,0.9702800766075397,0.9167288839817048,0.993340015411377,0.014291786447182958,0.98311296910853,0.008602211489164574,0.9630052640631392,0.024215426266398502,0.9614391303376147,0.031195750162963783,0.972270930283948,0.01969194876804729,-0.09023440614682773,0.08156981637875405,-0.030769397015562826,-0.05166708726861567,-0.07128376625556153,48.94158387155946,2.6370031774916574e-12,55.847075588184396,7.463827966376469e-13,58.31705007360089,1.3449796301281191e-12,104.14791197277056,2.5965219770212562e-11,168.16500051805468,3.636751897284875e-14,338.96363088593154,1.1054753805002825e-26,418.88748807401527,6.268852453263414e-26,52.0,1.406044500479091,0.03708668647076965,0.09863597210258246,0.0040451775213236375
1561,1,Coherence,50.09377480120885,0.9451655622869595,0.9637588383962952,0.908598780632019,0.989727437496185,0.020127549469831175,0.9784817703672357,0.014227856257593841,0.9375562039581505,0.05119842268768818,0.9711929732247403,0.021343672880047133,0.9661388373688647,0.027421100058634327,0.07375145866181733,0.046498676736977,-0.165732171372631,-0.06153110786202247,-0.06368214895985082,63.372379927309126,1.7110036128418877e-15,97.3722905160761,7.175889943066288e-22,125.29526155545351,5.5822930293808505e-27,201.4226958473077,4.706250488938094e-29,288.20230063827273,1.8867218188996458e-34,434.9853515378999,4.768983907470901e-42,643.4743856066603,2.0194977722960187e-60,52.0,1.2789409962035834,0.06265725393647624,0.14382070525163299,0.015065354390613482
1562,1,Coherence,49.82454067553792,0.9400856731233569,0.9585299539276854,0.9231025815010072,0.9863451480865478,0.015127931818764226,0.968441870566961,0.03344790504991043,0.9430816753490551,0.04053588421165001,0.9590302360685248,0.029065464208160908,0.9619631814329248,0.02728905200135277,-0.05652681480678833,0.007213873943031347,-0.14983133103734503,-0.013672779025009124,-0.03150097466347632,64.34638411714849,1.0435973611942998e-15,68.32753966024303,1.455000966361434e-15,70.43984375040921,3.436139357919816e-15,88.17090994617563,1.0926122607408343e-08,122.79646604840605,1.1693217184615684e-07,186.67557377506057,1.1978247338634658e-06,235.65793270743055,3.9339427005904394e-05,52.0,1.7953373536002604,0.040024816116605806,0.09605494005089249,0.008687037169850271
